30267,PLANT PHYSIOLOGY ,BSCI,"BSCI 30140; CHEM 10060, 10061, 10062 and 10063.",,"Survey of physiological and biochemical processes, their interactions and effect on plant growth and behavior. Lecture three hours, lab three hours weekly.",2011
30270,GENERAL PLANT BIOLOGY ,BSCI,BSCI 10010 and BSCI 10120.,,"Covers all topics in modern plant biology, including molecular and cellular biology, physiology, anatomy, development, ecology, evolution and diversity.",2011
30271,GENERAL PLANT BIOLOGY LABORATORY ,BSCI,BSCI 10110 and BSCI 10120.,BSCI 30270,Laboratory and greenhouse exercises in general plant biology.,2011
30274,FORESTRY ,BSCI,BSCI 10110 and 10120.,,"Management of the forest resource within appropriate environmental constraints for sustained use relative to watershed protection, lumber production, recreation and wildlife.",2011
30275,LOCAL FLORA ,BSCI,BSCI 10110 and 10120.,,"Identification and field study of local plants: native, naturalized and cultivated. Two-hour lecture and six-hour lab weekly.",2011
30277,ECONOMIC BOTANY ,BSCI,BSCI 10110 and 10120.,,Biology of plants important to man and their relation to climate and geography. Lecture two hours weekly.,2011
30360,GENERAL ECOLOGY ,BSCI,BSCI 10110 and 10120; junior or senior standing.,,"Principles of ecology based on field studies of local plant and animal communities. Lecture three hours, lab three hours weekly.",2011
30361,BIOGEOGRAPHY ,BSCI,BSCI 10110 and 10120.,,Geographical distribution of biotic communities with special reference to North America and to their environmental control. Lecture three hours weekly.,2011
30362,INTRODUCTION TO BIOLOGY OF THE TROPICS ,BSCI,BSCI majors and junior or senior standing.,,Biology and conservation of tropical ecosystems and organisms.,2011
30518,VERTEBRATE ANATOMY ,BSCI,BSCI 10110 or 10120.,,"Concepts and methods of functional morphology. Comparative study of vertebrate organs and systems: skeletal, muscular, digestive, respiratory, circulatory, urogenital, nervous and endocrine. Lecture three hours, lab three hours weekly.",2011
30519,VERTEBRATE EMBRYOLOGY AND DEVELOPMENTAL ANATOMY ,BSCI,BSCI 20001 or 30518 and 30140.,,"Gametogenesis, fertilization, embryogenesis, organogenesis, normal/abnormal embryological development; emphasizing mammal; amphibian, bird illustrating general principles and concepts. Laboratory studies of frog, chick, pig developmental anatomy. Three one hour lectures and one three hour lab.",2011
30520,INTRODUCTION TO NEUROSCIENCE ,BSCI,BSCI 30140.,,"Basic principles in neuroscience from the cellular to systems level. Covers how the nervous system is organized, how it detects sensory stimuli to create a mental representation of their environment and output pathways by which the nervous system can control movement, hormone levels and physiological processes.",2011
30560,INVERTEBRATE ZOOLOGY ,BSCI,BSCI 10110 and 10120.,,Survey of the animal kingdom emphasizing evolutionary developments. Three-hour lecture and three-hour lab weekly.,2011
30580,ENTOMOLOGY ,BSCI,"BSCI 10110, 10120 and 10 hours of biology (BSCI) courses.",,"Classification, biology and ecology of the principal groups of insects. Lecture three hours, lab three hours weekly.",2011
30582,ORNITHOLOGY ,BSCI,BSCI 10110 and 10120.,,"Field study of natural history of local birds. Lecture three hours, lab three hours weekly.",2011
40020,BIOLOGY OF AGING ,BSCI,BSCI 20020 and CHEM 10050 and CHEM 10052.,,"Aging in cells, plants and animals, including man; maintaining human health during aging; current theories of aging. Lecture three hours weekly.",2011
40099,SENIOR HONORS THESIS ,BSCI,Departmental faculty mentor and honors college approval.,,Honors thesis research project completed during the senior year with BSCI faculty mentor and research committee. Maximum of 4 credit hours to count toward BSCI degrees as upper division elective hours.,2011
40142,BIOENERGETICS ,BSCI,BSCI 30140 and CHEM 20481 or 30481.,,"Lecture and discussion of respiration and photosynthesis, their origin, development and control in living systems. Concepts are introduced from fundamental principles. Lecture three hours weekly.",2011
40143,EUKARYOTIC CELL BIOLOGY ,BSCI,BSCI 30140 and CHEM 20481 or 30481.,,"Current survey of the structure and function of eukaryotic cells, including recent advances in research technology. Lecture three hours weekly.",2011
40146,DEVELOPMENTAL MECHANISMS ,BSCI,"enior standing, B or better in BSCI 30156 and BSCI 30410.",,"Fundamental concepts and paradigms of development as exemplified by major model organisms, with main focus on modern molecular and genetic understanding of developmental mechanisms.",2011
40150,MOLECULAR MECHANISMS OF DISEASE: CANCER ,BSCI,"junior or senior standing, BSCI 30156 and BSCI 30140.",,"Explores the current understanding of molecular and cellular mechanisms of disease processes, including new technologies and modern strategies in the forefront of future biomedical research. Emphasis on a review of primary literature.",2011
40158,MOLECULAR BIOLOGY ,BSCI,BSCI 30140 and 30156.,,"Molecular genetics, DNS and RNA structure, chromosomes, DNA replication, recombination, genetic transcription and translation, gene expression, current concepts and technologies.",2011
40159,MOLECULAR BIOLOGY LAB ,BSCI,BSCI 30140; BSCI 40143 or 40158; CHEM 20481 or 30481; CHEM 30475.,,Experience in research methods for studying cellular and molecular processes in plant and animal systems. Lab meets 6 hours weekly.,2011
40160,MARINE BIOLOGY ,BSCI,BSCI 10110 and BSCI 10120.,,"Natural history and ecology of marine organisms, with emphasis on life in coastal habitats. Lecture three hours.",2011
40162,SOIL BIOLOGY ,BSCI,"junior or senior standing, BSCI 10110 and BSCI 10120.",,"The ecology and physiology of organisms that live in soil, including microbes, plants and animals. The physical and chemical aspects of soil are introduced to understand how organisms in soils impact nutrient cycles and ecosystem development.",2011
40163,ORGANIC EVOLUTION ,BSCI,BSCI 30156 and 4 hours of biology (BSCI) courses.,,"History of evolutionary theory, the evidences of evolution, the evolutionary forces and the products of these forces. Lecture three hours weekly.",2011
40164,MOLECULAR SYSTEMATICS AND PHYLOGENETICS ,BSCI,BSCI 40163.,,"Modern methods used in systematics, DNA sequencing, DNA fingerprinting, phylogenetic analysis and interpretation of character evolution. Three hours lecture and 3 hours lab weekly.",2011
40165,HISTORY OF BIOLOGY ,BSCI,BSCI 10110 and 10120.,,Historical development of biology from antiquity to the present. Lecture two hours weekly.,2011
40170,STREAM BIOLOGY ,BSCI,BSCI 10110 and 10120.,,"Identification, biology and ecology of stream-inhabiting organisms. Lecture two hours, lab three hours weekly.",2011
40174,IMMUNOLOGY ,BSCI,"BSCI 30171 and CHEM 10060, 10061, 10062 and 10063.",,Survey of the mammalian host responses to self and non-self with emphasis on the cellular and molecular mechanisms by which innate and acquired immunity result. Experimental design and data analyses are related to current methodologies used to study immunology. Lectures 3 hours weekly.,2011
40191,SENIOR SEMINAR ,BSCI,biology (BSCI) major and senior standing.,,A capstone seminar course to examine biological topics and scientific contributions across sub disciplines. Discussion of current problems in the biological sciences related to societal needs and concerns.,2011
40192,INTERNSHIP IN BIOLOGICAL SCIENCES ,BSCI,18 hours of biology and 2.75 minimum GPA in biology (BSCI) coursework and special approval.,,"Work experience and training in the biological sciences under the supervision of appropriate personnel in a government agency, nonprofit organization or business. Maximum of 4 credit hours to count toward BSCI degrees as upper division elective hours.",2011
40193,VARIABLE TITLE WORKSHOP IN BIOLOGICAL SCIENCES ,BSCI,Permission.,,Topics to be offered will meet specific needs in the biological sciences. S u graded.,2011
40195,SPECIAL TOPICS IN BIOLOGY ,BSCI,18 hours of biology (BSCI) coursework and special approval of instructor.,,Special topics in biology.,2011
40196,INDIVIDUAL INVESTIGATION ,BSCI,A minimum BSCI grade average of 2.75 and at least 18 credit hours of BSCI coursework. Departmental and faculty mentor approvals required.,,"Research study under the direction of a BSCI faculty mentor. May be repeated; however, a maximum of 6 credit hours count toward BSCI degrees as upper-division elective hours.",2011
40269,BIOLOGY OF THE ALGAE ,BSCI,"BSCI 10110, 10120 plus 10 hours of biology (BSCI) coursework.",,"Morphology, ecology and systematics of freshwater and marine algae. Lecture three hours, lab three hours weekly.",2011
40272,PLANT ANATOMY ,BSCI,BSCI 10110 and 10120.,,"Development and structure of cells, tissues and tissue systems of seed plants. Both vegetative and reproductive structures of angiosperms will be emphasized. Lecture two hours, lab six hours weekly.",2011
40275,SYSTEMATIC BOTANY ,BSCI,BSCI 10110 and 10120.,,"Biosystematics, angiosperm, phylogeny, survey of some major families of dicotyledons. Lecture three hours, lab three hours weekly.",2011
40277,MORPHOLOGY OF LOWER PLANTS ,BSCI,BSCI 10110 and 10120.,,"Nonvascular plants, emphasizing structure, reproduction, evolution, fossil history, economic, ecological and medical importance. Lecture three hours, lab three hours weekly.",2011
40360,ICHTHYOLOGY ,BSCI,"junior standing, grade of C (2.0) or better in both BSCI 10110 and BSCI 10120.",,"Basic biology, natural history, behavior and ecology of the fishes. Three hour lecture and three hour lab weekly.",2011
40363,MICROBIAL ECOLOGY ,BSCI,,"BSCI 30171, 30360.","Microbial interactions with their biotic and abiotic environment; control of distribution and physiological activities; biochemical cycles; current techniques; emphasis on bacteria in aquatic systems. Pre- or corequisite BSCI 30171, 30360.",2011
40364,LIMNOLOGY ,BSCI,BSCI 30360.,,"Field and laboratory study of the principles of aquatic ecology. Recitation one hour, lecture two hours, lab three hours weekly.",2011
40367,LIMNOLOGICAL TECHNIQUES ,BSCI,BSCI 40364.,,"Analysis and significance of ecologically important variables and constituents of surface waters. Lecture one hour, lab four hours weekly.",2011
40368,WETLAND ECOLOGY AND MANAGEMENT ,BSCI,BSCI 10110 and 10120 and 10 hours of biology (BSCI) coursework.,,"Lecture, laboratory and field study of the principles of wetland ecology including adaptations of the biota to environmental conditions, comparison among different wetland habitat types and habitat management. Lecture 3 hours, lab 3 hours weekly.",2011
40369,LAKE MANAGEMENT ,BSCI,BSCI 40364.,,"Lecture/discussion related to management of lakes and reservoirs, emphasizing eutrophication problems. Current literature and problem solving techniques emphasized. Lecture three hours weekly.",2011
40372,"POPULATIONS, COMMUNITIES AND ECOSYSTEMS ",BSCI,BSCI 30360 and 40163.,,"Integrated investigation of population, community and ecosystem ecology from historical and current perspectives. Community and ecosystem views of nutrient dynamics and biodiversity provide a framework for consideration of food web patterns, energy flow and, ecosystem stability and function.",2011
40374,CONSERVATION BIOLOGY ,BSCI,BSCI 30360.,,Provides a critical analysis of the factors that threaten biological diversity in the biosphere and the consequences on biological processes and quality of life.,2011
40376,TROPICAL FIELD BIOLOGY AND CONSERVATION ,BSCI,"junior or senior standing, BSCI 10110 and BSCI 10120.",,Introduction to major issues in tropical ecology and conservation including the threats to the biological diversity of tropical ecosystems resulting from human activities. Students learn how to apply modern field-observation techniques to generate and test problem-solving hypotheses.,2011
40430,ANIMAL PHYSIOLOGY ,BSCI,"BSCI 30140; CHEM 10060, 10061, 10062 and 10063.",,"Physiologic principles and concepts. Lecture three hours, lab three hours weekly.",2011
40432,ENDOCRINOLOGY ,BSCI,BSCI 40430.,,Principles of endocrine regulation of physiological and metabolic processes. Morphological and functional interrelationships between systems. Lecture three hours.,2011
40433,MAMMALIAN PHYSIOLOGY I ,BSCI,BSCI 40430; 9 hours mathematics (MATH) coursework; 20 hours chemistry (CHEM) coursework.,BSCI 40444.,"The internal environment, metabolism and energy balance, temperature regulation, nervous system and special senses. Lecture three hours.",2011
40434,MAMMALIAN PHYSIOLOGY II ,BSCI,BSCI 40430; 9 hours mathematics (MATH) coursework or 20 hours chemistry (CHEM) coursework.,BSCI 40445.,"Physiology of cardiovascular, renal, respiratory and digestive systems. Lecture three hours.",2011
40435,REPRODUCTIVE PHYSIOLOGY OF MAMMALS ,BSCI,BSCI 40430 and 40432.,,Current concepts of reproductive processes based on studies with laboratory and domestic animals and man. Lecture three hours.,2011
40439,ENVIRONMENTAL PHYSIOLOGY ,BSCI,"BSCI 10110 and 10120 and CHEM 10060, 10061, 10062 and 10063.",,"Effects of heat, cold, oxygen, carbon dioxide, pressure, radiant energy, salt and water variations and other environmental factors on organisms.",2011
40444,MAMMALIAN PHYSIOLOGY LABORATORY I ,BSCI,,BSCI 40433.,Laboratory experimentation emphasizing physiological principles covered in BSCI 40433. Corequisite: BSCI 40433.,2011
40445,MAMMALIAN PHYSIOLOGY LABORATORY II ,BSCI,,BSCI 40434.,Laboratory experimentation emphasizing physiological principles covered in BSCI 40434. Lab four hours weekly. Corequisite: BSCI 40434.,2011
40515,ANIMAL BEHAVIOR ,BSCI,BSCI 10110 and 10120 and junior standing.,,"Explores the evolution of various animal behaviors, the functions they might serve, and the interplay among the social, ecological and physiological mechanisms that regulate their occurrence.",2011
40517,HISTOLOGY ,BSCI,"BSCI 10110, 10120, 30140 and 4 hours of biology (BSCI) coursework.",,"Study of the microscopic and submicroscopic structure of the mammalian body in relation to function. Lecture two hours, lab three hours weekly.",2011
40519,HORMONES AND BEHAVIOR ,BSCI,BSCI 10110 and 10120; and junior standing.,,Current concepts of hormone and behavior interactions across species.,2011
40525,WILDLIFE RESOURCES ,BSCI,BSCI 10110 and 10120 plus 4 hours of biology (BSCI) coursework.,,"Ecological parameters are discussed relative to the preservation and management of wild animal populations. Aesthetic, economic and environmental values are discussed. Lecture three hours weekly.",2011
40556,VERTEBRATE ZOOLOGY ,BSCI,BSCI 10110 and 10120 plus 4 hours of biology (BSCI) coursework.,,"Field approach to identification and natural history of all Ohio vertebrates except birds. Lecture three hours, lab and field three hours weekly.",2011
40581,ANIMAL PARASITOLOGY ,BSCI,"BSCI 10110, 10120 plus 4 hours of biology (BSCI) coursework.",,"Morphology, physiology, life-histories, systematics and economic importance of parasites. Lecture two hours lab, six hours weekly.",2011
40600,WRITING IN THE BIOLOGICAL SCIENCES ,BSCI,biology (BSCI) major and junior standing.,,Writing-intensive course taken with a 3- or 4-credit-hour upper-division biology course. This course may be used to satisfy the writing-intensive course requirement with approval of major department.,2011
50020,BIOLOGY OF AGING ,BSCI,BSCI 20020 and CHEM 10050 and CHEM 10052 and graduate standing.,,"Aging in cells, plants and animals, including humans; maintaining human health during aging; current theories of aging. Lecture three hours weekly.",2011
50142,BIOENERGETICS ,BSCI,BSCI 40430. Graduate standing.,,"Lecture and discussion of respiration and photosynthesis, their origin development and control in living systems. Concepts are introduced from fundamental principles. Lecture three hours weekly.",2011
50143,EUKARYOTIC CELL BIOLOGY ,BSCI,BSCI 40430. Graduate standing.,,"Current survey of the structure and function of eukaryotic cells, including recent advances in research technology. Lecture three hours weekly.",2011
50146,DEVELOPMENTAL MECHANISMS ,BSCI,graduate standing.,,"Fundamental concepts and paradigms of development as exemplified by major model organisms, with main focus on modern molecular and genetic understanding of developmental mechanisms.",2011
50150,MOLECULAR MECHANISMS OF DISEASE: CANCER ,BSCI,graduate standing.,,"Explores the current understanding of molecular and cellular mechanisms of disease processes, including new technologies and modern strategies in the forefront of future biomedical research. Emphasis on a review of primary literature.",2011
50158,MOLECULAR BIOLOGY ,BSCI,BSCI 30156 and graduate standing.,,"Molecular genetics, DNA and RNA structure, chromosomes DNA replication, recombination, genetic transcription and translation, gene expression, current concepts and technologies.",2011
50159,MOLECULAR BIOLOGY LABORATORY ,BSCI,BSCI 20140; BSCI 40143 or 40158; CHEM 20481 or 30481; CHEM 30475. Graduate standing.,,Experience in research methods for studying cellular and molecular processes in plant and animal systems. Lab meets 6 hours weekly.,2011
50160,MARINE BIOLOGY ,BSCI,Graduate standing.,,"Natural history and ecology of marine organisms, with emphasis on life in coastal habitats. Lecture three hours weekly.",2011
50162,SOIL BIOLOGY ,BSCI,graduate standing.,,"The ecology and physiology of organisms that live in soil, including microbes, plants and animals. The physical and chemical aspects of soil are introduced to understand how organisms in soils impact nutrient cycles and ecosystem development.",2011
50163,ORGANIC EVOLUTION ,BSCI,BSCI 30156 plus 4 hours of biology. Graduate standing.,,"Discussion of the history of evolutionary theory, the evidence of evolution the evolutionary forces and the products of those forces.",2011
50164,MOLECULAR SYSTEMATICS AND PHYLOGENETICS ,BSCI,BSCI 40163; graduate standing.,,"Modern methods used in systematics, DNA sequencing, DNA fingerprinting, phylogenetic analysis and interpretation of character evolution. Three hours lecture and 3 hours lab weekly.",2011
50165,HISTORY OF BIOLOGY ,BSCI,"BSCI 10181, 10182. Graduate standing.",,Historical development of biology from antiquity to the present. Lecture two hours weekly.,2011
50170,STREAM BIOLOGY ,BSCI,BSCI 10181 and 10182 . Graduate standing.,,"Identification, biology and ecology of stream-inhabiting organisms. Lecture two hours, laboratory three hours weekly.",2011
50174,IMMUNOLOGY ,BSCI,"BSCI 30171 and CHEM 10060, 10061 and 10062. Graduate standing.",,Survey of the mammalian host responses to self and non-self with emphasis on the cellular and molecular mechanisms by which innate and acquired immunity result. Experimental design and data analyses are related to current methodologies used to study immunology. Lecture three hours weekly.,2011
50193,VARIABLE TITLE WORKSHOP IN BIOLOGICAL SCIENCES ,BSCI,Permission and graduate standing.,,Topics to be offered will meet specific needs in the biological sciences.,2011
50195,SPECIAL TOPICS IN BIOLOGY ,BSCI,Special approval of instructor and graduate standing.,,Special topics in biology.,2011
50196,INDIVIDUAL INVESTIGATION ,BSCI,Special approval of instructor and graduate standing.,,Individual investigation in biology.,2011
50269,BIOLOGY OF THE ALGAE ,BSCI,"BSCI 10181, 10182 plus 10 hours of biology. Graduate standing.",,"Morphology, ecology and systematics of freshwater and marine algae. Lecture three hours, laboratory three hours weekly.",2011
50272,PLANT ANATOMY ,BSCI,"BSCI 10181, 10182. Graduate standing.",,"Development and structure of cells, tissues and tissue systems of seed plants. Both vegetative and reproductive structures of angiosperms will be emphasized. Lecture two hours, laboratory six hours weekly.",2011
50275,SYSTEMATIC BOTANY ,BSCI,BSCI 10181 10182 or equivalent. Graduate standing.,,"Biosystematics, angiosperm phylogeny survey of some major families of dicotyledons. Lecture three hours laboratory three hours weekly.",2011
50277,MORPHOLOGY OF LOWER PLANTS ,BSCI,BSCI 10181 10182 or equivalent. Graduate standing.,,"Nonvascular plants, emphasizing structure reproduction evolution fossil history economic ecological and medical importance. Lecture three hours laboratory three hours weekly.",2011
50360,ICHTHYOLOGY ,BSCI,graduate standing.,,"Basic biology, natural history, behavior and ecology of the fishes. Three hour lecture and three hour lab weekly.",2011
50363,MICROBIAL ECOLOGY ,BSCI,"BSCI 30171, 30360. Graduate standing.",,Microbial interactions with their biotic and abiotic environment; control of distribution and physiological activities; emphasis on bacteria in aquatic systems.,2011
50364,LIMNOLOGY ,BSCI,BSCI 30360t. Graduate standing.,,"Field and laboratory study of the principles of aquatic ecology. Recitation one hour, lecture two hours, laboratory three hours weekly.",2011
50367,LIMNOLOGICAL TECHNIQUES ,BSCI,BSCI 5/70364 or permission. Graduate standing.,,"Analysis and significance of ecologically important variables and constituents of surface waters. Lecture one hour, laboratory four hours per week.",2011
50368,WETLAND ECOLOGY AND MANAGEMENT ,BSCI,Graduate standing.,,"Lecture, laboratory and field study of the principles of wetland ecology including adaptations of the biota to environmental conditions, comparison among different wetland habitat types and habitat management. Lecture 3 hours lab 3 hours weekly.",2011
50369,LAKE MANAGEMENT ,BSCI,BSCI 5/70364 and graduate standing.,,"Lecture/discussion related to management of lakes and reservoirs, emphasizing eutrophication problems. Current literature and problem solving techniques emphasized. Lecture three hours weekly.",2011
50372,"POPULATIONS, COMMUNITIES AND ECOSYSTEMS ",BSCI,BSCI 30360 and 40163; graduate standing.,,"Integrated investigation of population, community and ecosystem ecology from historical and current perspectives. Community and ecosystem views of nutrient dynamics and biodiversity provide a framework for consideration of food web patterns energy flow and, ecosystem stability and function.",2011
50374,CONSERVATION BIOLOGY ,BSCI,BSCI 30360 and graduate standing.,,Provides a critical analysis of the factors that threaten biological diversity in the biosphere and the consequences on biological processes and quality of life.,2011
50376,TROPICAL FIELD BIOLOGY AND CONSERVATION ,BSCI,graduate standing.,,Introduction to major issues in tropical ecology and conservation including the threats to the biological diversity of tropical ecosystems resulting from human activities. Students learn how to apply modern field-observation techniques to generate and test problem-solving hypotheses.,2011
50432,ENDOCRINOLOGY ,BSCI,BSCI 40430 and graduate standing.,,Principles of endocrine regulation of physiological and metabolic processes. Morphological and functional interrelationships between systems. Lecture three hours weekly.,2011
50433,MAMMALIAN PHYSIOLOGY I ,BSCI,BSCI 40430; 9 hours mathematics; 20 hours chemistry; graduate standing.,,"The internal environment, metabolism and energy balance, temperature regulation, nervous system and special senses. Lecture three hours.",2011
50434,MAMMALIAN PHYSIOLOGY II ,BSCI,BSCI 40430; 9 hours mathematics; 20 hours chemistry; graduate standing.,,"Physiology of cardiovascular, renal, respiratory and digestive systems. Lecture three hours.",2011
50435,REPRODUCTIVE PHYSIOLOGY OF MAMMALS ,BSCI,BSCI 40430 and 40432; graduate standing.,,Current concepts of reproductive processes based on studies with laboratory and domestic animals and man. Lecture three hours.,2011
50439,ENVIRONMENTAL PHYSIOLOGY ,BSCI,"BSCI 10181, 10182; CHEM 10060, 10061 and 10062. Graduate standing.",,"Effects of heat, cold, oxygen, carbon dioxide, pressure, radiant energy salt, and water variations and other environmental factors on organisms. Lecture four hours weekly.",2011
50444,MAMMALIAN PHYSIOLOGY LAB I ,BSCI,,BSCI 5/70433. Graduate standing.,Laboratory experimentation emphasizing physiological principles covered in BSCI 5/70433. Corequisite: BSCI 5/70433. Graduate standing.,2011
50445,MAMMALIAN PHYSIOLOGY LAB II ,BSCI,,BSCI 5/70434. Graduate standing.,Laboratory experimentation emphasizing physiological principles covered in BSCI 5/70434. Corequisite: BSCI 5/70434. Graduate standing.,2011
50515,ANIMAL BEHAVIOR ,BSCI,graduate standing.,,"Explores the evolution of various animal behaviors, the functions they might serve, and the interplay among the social, ecological and physiological mechanisms that regulate their occurrence.",2011
50517,HISTOLOGY ,BSCI,"BSCI 10181, 10182, plus 4 hours of biology. Graduate standing.",,"Study of the microscopic and submicroscopic structure of the mammalian body in relation to function. Lecture two hours, laboratory three hours weekly.",2011
50519,HORMONES AND BEHAVIOR ,BSCI,graduate standing.,,Current concepts of hormone and behavior interactions across species.,2011
50525,WILDLIFE RESOURCES ,BSCI,BSCI 10181 and 10182 plus 4 hours. Graduate standing.,,Ecological parameters are discussed relative to the preservation and management of wild animal populations. Aesthetic economic and environmental values are discussed. Lecture three hours weekly.,2011
50556,VERTEBRATE ZOOLOGY ,BSCI,"BSCI 10181, 10182 plus 4 hours of biology. Graduate standing.",,"Field approach to identification and natural history of all Ohio vertebrates except birds. Lecture three hours, laboratory and field three hours weekly.",2011
60080,EXPERIMENTAL METHODS IN BIOLOGY ,BSCI,Special approval and graduate standing.,,"The development of hypotheses, principles of experimental design and methods of gathering and evaluating data.",2011
60103,BIOLOGICAL STATISTICS ,BSCI,graduate standing.,,"Principles of experimental design and statistical analysis, and how to choose and interpret statistical tests using biological data sets.",2011
60144,SELECTED READINGS IN EUKARYOTIC CELL BIOLOGY ,BSCI,Graduate standing.,BSCI 50143,Directed readings in cell and molecular biology from the primary and review literature will be presented and discussed by the students.,2011
