67007,COMPUTER SYSTEMS-EMBA ,EMBA,admission to the EMBA and graduate standing.,,An introduction to the use of computers in business decision making.,2011
77043,DYNAMICS OF LEADERHSP FOR EXECUTIVE-EMBA ,EMBA,doctoral standing.,,Leadership skills including: team development conflict resolution negotiation communications and project development. These skills along with ethical considerations are developed to enhance business decision making.,2011
77051,MARKETING MANAGEMENT-EMBA ,EMBA,doctoral standing.,,The various elements comprising marketing strategy are studied as components of integrated programs directed toward industrial and consumer markets.,2011
77058,MARKETING STRATEGY AND PLANNING-EMBA ,EMBA,doctoral standing.,,Focuses on integration of marketing planning into the strategic planning process. Deals mostly with marketing strategy at the level of senior management rather than operations.,2011
77061,FINANCIAL PLANNING AND STRATEGY-EMBA ,EMBA,doctoral standing.,,"Problems and approaches to financial decision making in business enterprises: controlling the allocation of funds among both current and fixed assets, assessing financial needs, and planning the mix and methods of financing.",2011
77062,MONEY AND CAPITAL MARKETS-EMBA ,EMBA,doctoral standing.,,"Analysis and evaluation of the structure, functions and characteristics of domestic and international money and capital markets as the financing mechanism for business and non- business systems.",2011
77070,ORGANIZATIONAL ANALYSIS AND DESIGN-EMBA ,EMBA,doctoral standing.,,The course is concerned with the development of both theoretical and practical concepts related to complex work organizations.,2011
77071,HUMAN RESOURCE MANAGEMENT-EMBA ,EMBA,doctoral standing.,,The course will deal with some of the major areas of interest to the management of human resources. Special emphasis will be placed on areas of staff planning such as job analysis and selection.,2011
77082,LEGAL AND SOCIAL IMPACT ON MANAGERIAL DECISION-MAKING-EMBA ,EMBA,doctoral standing.,,"Managerial decision-making is examined in terms of the real and potential impacts of the legal, political and social environment of business.",2011
77084,MULTINATIONAL BUSINESS MANAGEMENT-EMBA ELD EMBA 67084,EMBA,,,+ EMBA 77084,2011
77085,EXECUTIVE POLICY AND PLANNING-EMBA ,EMBA,doctoral standing.,,The course concentrates on the determination of corporate strategy in the business firm and its implementation through appropriate organizational arrangements and procedures.,2011
77090,APPLIED RESEARCH DESIGN-EMBA ,EMBA,doctoral standing.,,Introduction to research design in management. The course deals with the applications of the scientific method to solving organizational problems with a decision-making context.,2011
77091,SEMINAR IN EXECUTIVE SKILLS DEVELOPMENT-EMBA ,EMBA,doctoral standing. 1.000 OR,,"A series of seminars developing managerial skills such as communications, leadership, teamwork, project and time management, etc. Offered primarily in first year of program.",2011
77096,APPLIED RESEARCH PROJECT-EMBA ,EMBA,doctoral standing.,,A research project based on an applied business or economic problem will be conducted under the direct supervision of a participating faculty member in the EMBA program.,2011
77291,EMBA RESIDENCY SEMINAR ,EMBA,doctoral standing. 1.000 OR,,A two-to-four-day intensive introduction to basic concepts and integration of EMBA program content. Emphasis on group analysis and or simulation.,2011
