Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CA 10195 ,"SPECIAL TOPICS IN THE COLLEGE OF THE ARTS
",CA,none.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary
study, to cover areas not treated adequately in the standard course and to make available promptly the new
and significant experience of the faculty. Requests for the scheduling of these courses are made by faculty
members or students to the sponsoring school or to the dean. The schools concerned clear the proposed
course with the Curriculum Committee of the college."
CA 20000 ,"PERFORMING ARTS I
",CA,none.,None,"An inter-arts course introducing expressive materials, representative literature and historical contexts of major
dance, music and theatre styles with appropriate reference to other are forms."
CA 20001 ,"PERFORMING ARTS II
",CA,none.,None,Continuation of Performing Arts I.
CA 20295 ,"SPECIAL TOPICS IN THE COLLEGE OF THE ARTS
",CA,none.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary
study, to cover areas not treated adequately in the standard course and to make available promptly the new
and significant experience of the faculty. Requests for the scheduling of these courses are made by faculty
members or students to the sponsoring school or to the dean. The schools concerned clear the proposed
course with the Curriculum Committee of the college."
CA 30395 ,"SPECIAL TOPICS IN THE COLLEGE OF THE ARTS
",CA,none.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary
study, to cover areas not treated adequately in the standard course and to make available promptly the new
and significant experience of the faculty. Requests for the scheduling of these courses are made by faculty
members or students to the sponsoring school or to the dean. The schools concerned clear the proposed
course with the Curriculum Committee of the college."
CA 40493 ,"VARIABLE TITLE WORKSHIP IN THE COLLEGE OF THE ARTS
",CA,none.,None,(Repeatable for credit)Workshop setting dealing with topics within the College of the Arts.
CA 40495 ,"SPECIAL TOPICS IN THE COLLEGE OF THE ARTS
",CA,none.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary
study, to cover areas not treated adequately in the standard course and to make available promptly the new
and significant experience of the faculty. Requests for the scheduling of these courses are made by faculty
members or students to the sponsoring school or to the dean. The schools concerned clear the proposed
course with the Curriculum Committee of the college."
CA 41495 ,"SPECIAL TOPICS IN THE COLLEGE OF THE ARTS
",CA,none.,None,"(Repeatable for credit)This program, administered by the dean, is intended to encourage interdisciplinary
study, to cover areas not treated adequately in the standard course, and to make available promptly the new
and significant experience of the faculty. Requests for the scheduling of these courses are made by faculty
members or students to the sponsoring school or to the dean. The school concerned clears the proposed
course with the College Curriculum Committee."
