Course Number,Course Name,Department,Prerequisites,Corequesites,Description
DAN 37168 ,"MODERN DANCE TECHNIQUE III-B
",DAN,DAN 37068 and special approval.,None,Continuation of advanced modern dance technique.
DAN 37170 ,"DANCE COMPOSITION IV
",DAN,DAN 37070 and special approval.,None,"Exploration of advanced composition skills in preparation for the B.F.A. senior choreography project and future
choreographic endeavors."
DAN 37192 ,"DANCE PRACTICUM
",DAN,special approval.,None,"(repeatable for a total of 4 hours) practical experience in cocurriculum dance activities under faculty
supervision."
DAN 37271 ,"DANCE ENSEMBLE
",DAN,Dance major and special approval.,None,"Participation in rehearsal, preparation and performance of public dance concerts in an established dance
ensemble."
DAN 37310 ,"MUSIC FOR DANCERS
",DAN,special approval.,None,"Students will build theoretical, analytical and performance skills in music specific to the needs of dancers,
dance teachers and choreographers."
DAN 38001 ,"APPLIED SKILLS FOR DANCE ACCOMPANIMENT
",DAN,DAN 28010.,None,"(Course is repeatable for a maximum of 8 credit hours) Private applied music instruction in performance skills
necessary to accompany a modern dance or ballet class. Emphasis is placed on hand drum and frame drum
technique, keyboard repertoire, and keyboard improvisation skills."
DAN 38010 ,"DANCE ACCOMPANIMENT LABORATORY II
",DAN,two semesters of DAN 28010 and special approval.,None,"(Course is repeatable) Students will receive intermediate and advanced instruction in modern dance or ballet
technique class accompaniment. Emphasis will be placed on continued development of accompaniment
strategies for specific styles of movement and increasing the students' range of accompaniment repertoire and
improvisational vocabulary."
DAN 47055 ,"BALLET IV-A
",DAN,DAN 37167.,None,A continuation of DAN 37167 with increasing clarity and control of movements.
DAN 47060 ,"PROFESSIONAL ASPECTS IN DANCE
",DAN,DAN 27170 and special approval.,None,"development of pragmatic skills for entrance into professional dance careers. Emphasis on resume writing,
preparation for auditions and economic survival."
DAN 47063 ,"DANCE HISTORY I
",DAN,Dance major and approval.,None,History of dance from antiquity to 1900.
DAN 47070 ,"JAZZ STYLES III
",DAN,DAN 27170 and special approval.,None,Jazz style for students with advanced dance technique.
DAN 47095 ,"SPECIAL TOPICS IN DANCE
",DAN,none.,None,"(repeatable for a total of 24 hours) offered when resources permit a topic different from existing courses.
Topic to be announced when scheduled."
DAN 47156 ,"DANCE PRODUCTION
",DAN,Dance major and special approval.,None,"Study of elements involved in planning and implementing a concert. Experiential work in technical and
management components."
DAN 47163 ,"DANCE HISTORY II
",DAN,DAN 47063 and special approval.,None,History of the development of concert and theatrical dance forms from 1900 to present day.
DAN 47170 ,"JAZZ STYLES IV
",DAN,DAN 47070 and special approval.,None,Continuation of DAN 47070.
DAN 47174 ,"SENIOR CHOREOGRAPHY PROJECT
",DAN,DAN 37170 and special approval.,None,Creation of a modern dance work to be performed with full production values in an approved setting.
DAN 47175 ,"CAPSTONE PROJECT
",DAN,junior standing and special approval.,None,"The capstone project represents a culminating event for the student. Capstone projects can be taken in the
junior or senior year and are identified in consultation with a faculty advisor. Honor students may combine the
capstone project with an Honors thesis."
DAN 47192 ,"INTERNSHIP IN DANCE
",DAN,Dance major and special approval.,None,(Repeatable for credit)Supervised dance apprenticeship in an approved educational setting.
DAN 47196 ,"INDIVIDUAL INVESTIGATION IN DANCE
",DAN,Junior standing and special approval.,None,(Repeatable for credit)Individual projects for dance majors.
DAN 47525 ,"STUDENT TEACHING IN DANCE
",DAN,"Dance major; and admission to student teaching; and DAN 47192; and specialapproval; and Official valid certification of Child Safety Training, approved Basic Life Support and A.L.I.C.E.
Training must be presented to the campus office of clinical experience or designated faculty/staff at Regional
campuses as prerequisite for student teaching. 
",None,"This experience provides for a full semester of student teaching in the broadest range of multi-age school
settings."
