Course Number,Course Name,Department,Prerequisites,Corequesites,Description
EDST 40095 ,"SPECIAL TOPICS IN EDUCATIONAL STUDIES
",EDST,none.,None,(Course is repeatable) Selected topics in Educational Studies dependent upon interest.
EDST 40096 ,"INDIVIDUAL INVESTIGATION IN EDUCATIONAL STUDIES PROGRAM
",EDST,special approval.,None,"(Course is repeatable) Independent study completed under the supervision
of a faculty member. Written
 approval of supervising faculty member required prior to registration."
EDST 44003 ,"SEMINAR IN EDUCATIONAL STUDIES
",EDST,senior standing.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
Directed discussion applying concepts from previous educational coursework and internships or prior work
 experience."
EDST 44004 ,"RESEARCH AND WRITINGS IN EDUCATIONAL STUDIES
",EDST,"senor standing andspecial approval.
",None,"This course presents and integrates the role of professionals in the Education, Health and Human Services fields
 as they attempt to meet the needs of individuals in diverse environments."
EDST 44092 ,"PRACTICUM IN EDUCATIONAL STUDIES
",EDST,"Educational Studies (EDST) majors; and senior standing; and specialapproval.
",None,"(Course is repeatable for a maximum of 12 credit hours) Placement in a work site congruent with student's
 career aspirations."
