Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MATH 12002 ,"ANALYTIC GEOMETRY AND CALCULUS I
",MATH,"minimum C (2.000) grade in MATH 11022 orMATH 12001; or ALEKS math upper-level minimum score 70; or ALEKS math single assessment
minimum score
 of 78.
",None,"Concepts of limit, continuity and derivative, and the indefinite and definite integral for functions of one real
 variable. Maximization, related rates, fundamental theorem of calculus. No credit earned for this course if
 student earned credit for MATH 12011 and 12012."
MATH 12003 ,"ANALYTIC GEOMETRY AND CALCULUS II
",MATH,"MATH12002
 or MATH 12012 with a minimum grade of C (2.000).
",None,"Continued study of techniques and applications of integration; trigonometric, logarithmic and exponential
 functions; polar coordinates;
vectors; parametric equations; sequences and series."
MATH 12011 ,"CALCULUS WITH PRECALCULUS I
",MATH,"ALEKS math upper-level score 50-69; or ALEKSmath single assessment score of 67-77.
",None,"Introduction to differential calculus with a review of algebra and trigonometry. Includes exponents, factoring,
 functions, graphs, tangent lines, limits, continuity, derivatives and related rates. No credit earned for this
 course is student earned credit for MATH 12002."
MATH 12012 ,"CALCULUS WITH PRECALCULUS II
",MATH,"MATH 12011 with aminimum grade of C (2.000).
",None,"Development of integral calculus and continued study of differential calculus. Includes curve sketching
 optimization fundamental theorem of calculus areas between curves, exponential and logarithmic functions. No
 credit earned for this course if student earned credit for MATH 12002."
MATH 12021 ,"CALCULUS FOR LIFE SCIENCES
",MATH,"MATH 11022 orMATH 12011 with a minimum grade of C (2.000); or ALEKS Placement score of 78 or higher.
",None,Differential and integral calculus using examples and problems in life sciences.
MATH 12022 ,"PROBABILITY AND STATISTICS FOR LIFE SCIENCES
",MATH,"MATH 12002 orMATH 12012 or MATH 12021 with a minimum grade of C (2.000).
",None,Probability and statistics with applications in medical and biological sciences.
MATH 14001 ,"BASIC MATHEMATICAL CONCEPTS I
",MATH,"minimum C (2.000) in MATH 00007 or any mathcourse 00023 and higher; or ALEKS math assessment minimum score of 45.
",None,"Development of the real number system and its sub-systems, open sentences, numeration systems, modular
 arithmetic and some number theory
concepts."
MATH 14002 ,"BASIC MATHEMATICAL CONCEPTS II
",MATH,"MATH 14001 or MATH 10771 with aminimum grade of C (2.000).
",None,"Basic concepts of probability, statistics and geometry."
MATH 19002 ,"TECHNICAL MATHEMATICS II
",MATH,MATH 19001.,None,"Continuation of MATH 19001. Emphasizes advanced topics in algebra and trigonometry, analytic geometry,
 derivatives and integrals."
MATH 19099 ,"FIELD EXPERIENCE IN MATHEMATICS INSTRUCTION
",MATH,Special approval.,None,"(Repeatable for credit)Learning through tutoring. A supervised lab experience in providing explanations of
 mathematical concepts."
MATH 20095 ,"SPECIAL TOPICS IN MATHEMATICS
",MATH,Permission.,None,"(Repeatable for credit)Various special courses will be announced in the schedule of classes under this course
 number with different section numbers."
MATH 21001 ,"LINEAR ALGEBRA WITH APPLICATIONS
",MATH,"MATH11012 or MATH 12002 with a minimum grade of C (2.000).
",None,"Systems of linear equations and the associated matrix operations, linear
transformations, vector spaces, bases,
 eigenvectors."
MATH 21092 ,"COMPUTER PRACTICUM
",MATH,None.,None,(Repeatable for credit) Supervised work experience in a computer installation.
MATH 22005 ,"ANALYTIC GEOMETRY AND CALCULUS III
",MATH,"MATH12003 with a minimum grade of
C (2.000).
",None,"Study of functions of several variables, including partial derivatives and multiple integrals."
MATH 30011 ,"BASIC PROBABILITY AND STATISTICS
",MATH,"MATH 11010 orMATH 10774 or MATH 10775 with a minimum grade of C (2.000).
",None,"Analysis and representation of data. Controlled experiments and observations. Measurement errors. Correlation
 and regression. Sampling. Probability models and tests of models. Inference."
MATH 30055 ,"MATHEMATICAL THEORY OF INTEREST
",MATH,MATH 12003 with a minimum grade of C (2.000).,None,"A calculus-based introduction to the mathematics of finance. Limited to deterministic analysis of interest rates
 annuities bonds and immunization. Emphasizes the mathematical theory of the subject matter."
MATH 31011 ,"DISCRETE MATHEMATICS
",MATH,MATH 12002 with a minimum grade of C (2.000). Pre/,None,"Discrete mathematical structures including sets, functions, relations, Boolean algebras, elementary
 combinatorics, discrete probability, and logic. Applications to algorithm complexity analysis and program
correctness proof."
MATH 32044 ,"INTRODUCTION TO ORDINARY DIFFERENTIAL EQUATIONS
",MATH,"MATH 21001 and MATH 22005 with minimum grades of C(2.000).
",None,"An introduction to ordinary differential equations and applications. Topics include solution methods, series
 solutions and singular points. Laplace transforms and linear systems. Applications include population dynamics,
 forced oscillations and resonance."
MATH 32051 ,"MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES I
",MATH,MATH 12003 with a minimum grade of C (2.000).,None,"Mathematics background beyond Calculus I and II for upper-division courses in the physical sciences. Topics
 include complex numbers and arithmetic, linear algebra, partial differentiation and multiple integrals."
MATH 32052 ,"MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES II
",MATH,"MATH 22005 with a minimum grade of C (2.000); and MATH 21001 or MATH 32051 with aminimum grade of C (2.000).
",None,"Additional mathematics background for upper-division courses in the physical sciences. Topics include vector
 analysis, Fourier series and transforms ordinary differential equations and partial differential equations."
MATH 34001 ,"FUNDAMENTAL CONCEPTS OF ALGEBRA
",MATH,"MATH 12002 with a minimum gradeof C (2.000).
",None,"Professionalized course in algebra for prospective secondary teachers. Postulational development of number
 system of algebra; other systems, related topics, applications."
MATH 34002 ,"FUNDAMENTAL CONCEPTS OF GEOMETRY
",MATH,"MATH 12002with a minimum grade of C (2.000).
",None,"Professionalized course in geometry for secondary school teachers. Origin and development of the geometry of
 Euclid with modern refinements, topics, approaches. Other geometries, applications."
MATH 40011 ,"INTRODUCTION TO PROBABILITY THEORY AND APPLICATIONS
",MATH,"MATH 12003 with a minimum grade of C(2.000).
",None,"Permutations and combinations, discrete and continuous distributions, random variables, conditional
 probabilities, Baye's formula, mathematical expectation, law of large numbers, normal approximations, basic
 limit theorems."
MATH 40012 ,"INTRODUCTION TO STATISTICAL CONCEPTS
",MATH,"MATH40011 with a minimum grade of C (2.000).
",None,"Sample spaces, continuous distributions, sampling distributions, point and interval estimation, hypothesis
 testing, types of error, level and power of tests, sequential and nonparametric methods."
MATH 40051 ,"TOPICS IN PROBABILITY THEORY AND STOCHASTIC PROCESSES
",MATH,MATH 40011 with a minimum grade of C (2.000).,None,"Topics from conditional expectations, Markov chains, Markov processes, Brownian motion and Martingales and
 their applications to stochastic calculus."
MATH 40055 ,"ACTUARIAL MATHEMATICS I
",MATH,MATH 30055 and MATH 40011 with minimum grades of C (2.000).,None,"(Slashed with MATH 50055) Topics from survival models, stochastic analysis of annuities and life insurance and
 casualty models."
MATH 40056 ,"ACTUARIAL MATHEMATICS II
",MATH,MATH 40055 with a minimum grade of C (2.000).,None,"Benefit premiums, benefit reserves and their analysis, decrement models,
joint survivorship, risk models."
MATH 40059 ,"STOCHASTIC ACTUARIAL MODELS
",MATH,MATH 40011 with a grade of C (2.000) or higher.,None,"(Slashed with MATH 50059) Designed to prepare students for the Society of Actuaries examination on actuarial
 mathematics."
MATH 40093 ,"VARIABLE TITLE WORKSHOP IN MATHEMATICS
",MATH,Permission.,None,"(Repeatable for credit)Studies special topics in mathematics. Not acceptable for credit toward a major or minor
 in math without approval of student's adviser. S u/graded."
MATH 41001 ,"INTRODUCTION TO MODERN ALGEBRA I
",MATH,"MATH 21001 and MATH 22005 with minimum grades of C (2.000); and MATH31011 or MATH 41021 or MATH 47011 with a minimum grade of C (2.000).
",None,"Basic properties of groups, subgroups, factor groups. Basic properties of rings, integral domains, and
 homomorphisms."
