Course Number,Course Name,Department,Prerequisites,Description
40093,Variable Title Workshop in Geography (1-6)S/U grading. Prerequisite: special approval. 40191 Seminar in Geography,GEOG,10 undergraduate geography (GEOG) credit hours,(Repeatable for a total of 6 credit hours) Advanced study of the historical development of geography and of contemporary issues in the field. Emphasis on methods of geographic investigation and presentation of results.
40192,Practicum in Geography (1-3)(Repeated registration permissible) Practical experience in using or teaching geographic techniques and/or problem-solving. Faculty supervised. S/U grading; IP grade permissible. Prerequisite: special approval.40195 Special Topics in Geography (1-3)Prerequisite: special approval.40292 Field Experience in Geography (1-6)(Repeated registration permissible) Examination of geographic landscapes in the field. S/U grading. Prerequisite: special approval. Special fee—actual cost basis.40392 Practicum in Emerging Geographic Trends (1-6)(Repeated registration permissible) Examination of newly emerging geographic topics and techniques. S/U grading. Prerequisite: special approval. Special fee—actual cost basis.40996 Individual Investigation in Geography (1-3)Individual undergraduate investigation or research on specific geographical problems. IP grade permissible. Prerequisite: special approval.41050 Polar and Alpine Environments,GEOG,10 undergraduate geography (GEOG) credit hours,"The geographic features of the Earth’s cold treeless regions are examined including climate, soils, glaciers, permafrost, plant and animal life and human activities."
41052,Glaciers and Glaciation,GEOG,10 undergraduate geography (GEOG) credit hours,"(Cross-listed with GEOL 44052) Examination of how glacial ice masses change the shape of the Earth’s surface, how they are integral to climate and sea-level change and how they pose high risk hazards."
21062,or GEOL 11040. Special fee: $100 flat fee—subject to change.41062 Advanced Physical Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Advanced systematic analysis of the elements of physical geography. Specific analytical methodologies and their application to physical geography are also discussed.
41066,Climate Change and Its Impact,GEOG,10 undergraduate geography (GEOG) credit hours,"Examination of the evidence and causes of climate change and how this data is assessed. Past, present and future impacts of climate change and variability are discussed, along with policy implications. Prerequisites: GEOG 31062 and 31064.41073 Conservation of Natural Resources (3)Evaluation of past and current problems associated with the management of natural resources and the environments associated with their utilization."
31062,and 31064.41073 Conservation of Natural Resources,GEOG,10 undergraduate geography (GEOG) credit hours,Evaluation of past and current problems associated with the management of natural resources and the environments associated with their utilization.
41074,Resource Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Culture-technology and distance in relation to resource adequacy and management concepts for societal decisions about common property and situations with external economies.
41082,Geography of Soils,GEOG,10 undergraduate geography (GEOG) credit hours,"An edaphological approach to soils including morphology, formation, classification, geographical distribution and utilization. Fieldwork required."
21062,or GEOL 11040.42040 Tourism Development and Recreational Travel,GEOG,10 undergraduate geography (GEOG) credit hours,(Cross-listed with RPTM 46000) Investigation of travel and tourism development using an interdisciplinary social science approach.
42052,Medical Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Geographic patterns of morbidity and mortality in the past and the present; diffusion of diseases and medicine; health in Third World emphasized.
