Course Number,Course Name,Department,Prerequisites,Description
22001,Design/Illustration Techniques II,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Continuation of Design/Illustration Techniques I with expanded emphasis on black-and-white media used for illustration purposes, with emphasis on media capable of reproduction by traditional printing methods. Prerequisites: VCD 22000.23000 Intermediate Studio Skills: Graphic Design and Illustration (3)A technical lecture course designed to outline the process and describe and discuss the technologies and vocabulary used in the printing industry. Prerequisites: VCD 23001. Special fee: $33 flat fee—subject to change.23001 Introduction to Typography (3)Historical study of letter forms and their application to the development of new forms. Execution and use of letter forms as design elements in layout and illustration using fundamental typographic theories and rules of spatial organization. Prerequisites: minimum B (3.0) grade in VCD 13000 and 13001. Special fee: $12 flat fee—subject to change.23002 Introduction to 3D Graphic Design (3)Continuation of Introduction to Graphic Design and Introduction to Typography with application of typography and imagery to 3-D form. Prerequisites: VCD 13001 and 23001.24001 Product Design (3)Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
23000,Intermediate Studio Skills: Graphic Design and Illustration,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"A technical lecture course designed to outline the process and describe and discuss the technologies and vocabulary used in the printing industry. Prerequisites: VCD 23001. Special fee: $33 flat fee—subject to change.23001 Introduction to Typography (3)Historical study of letter forms and their application to the development of new forms. Execution and use of letter forms as design elements in layout and illustration using fundamental typographic theories and rules of spatial organization. Prerequisites: minimum B (3.0) grade in VCD 13000 and 13001. Special fee: $12 flat fee—subject to change.23002 Introduction to 3D Graphic Design (3)Continuation of Introduction to Graphic Design and Introduction to Typography with application of typography and imagery to 3-D form. Prerequisites: VCD 13001 and 23001.24001 Product Design (3)Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
23001,Introduction to Typography,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Historical study of letter forms and their application to the development of new forms. Execution and use of letter forms as design elements in layout and illustration using fundamental typographic theories and rules of spatial organization. Prerequisites: minimum B (3.0) grade in VCD 13000 and 13001. Special fee: $12 flat fee—subject to change.23002 Introduction to 3D Graphic Design (3)Continuation of Introduction to Graphic Design and Introduction to Typography with application of typography and imagery to 3-D form. Prerequisites: VCD 13001 and 23001.24001 Product Design (3)Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
13000,and 13001. Special fee: $12 flat fee—subject to change.23002 Introduction to 3D Graphic Design,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Continuation of Introduction to Graphic Design and Introduction to Typography with application of typography and imagery to 3-D form. Prerequisites: VCD 13001 and 23001.24001 Product Design (3)Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
13001,and 23001.24001 Product Design,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
24009,Sophomore Portfolio Review,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
27000,Interiors Rendering,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
27001,Visual Design for Media: Basic,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
28000,Photography,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Basic camera techniques to provide a better understanding of photography as a creative skill in visual communication. Prerequisites: VCD 13000 and 13001. Special fee: $65 flat fee—subject to change.28002 Photography II (3)Elaborates upon the basic technical information covered in Photography, VCD 28000. Through a set of sequential and interrelated problems, the class is designed to touch upon  a series of photographic situations that frequently affect the working professional in the studio, or in the field."
13000,and 13001. Special fee: $65 flat fee—subject to change.28002 Photography II,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Elaborates upon the basic technical information covered in Photography, VCD 28000. Through a set of sequential and interrelated problems, the class is designed to touch upon  a series of photographic situations that frequently affect the working professional in the studio, or in the field."
