Course Number,Course Name,Department,Prerequisites,Description
11009,"or 21002 or 30145; and at least one of PHIL 11001, 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31003 Continental Rationalism",PHIL,departmental special approval before registration,"Selections from Rationalists; for instance, Descartes, Spinoza and Leibniz. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31004 British Empiricism (3)Selections from British empiricists; for instance, Locke, Berkeley and Hume. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31005 German Critical Philosophy (3)Selections from Kant and post-Kantians. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31006 Nineteenth-Century Philosophy (3)Selections from works of 19th-century philosophers. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy (3)Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31004 British Empiricism,PHIL,departmental special approval before registration,"Selections from British empiricists; for instance, Locke, Berkeley and Hume. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31005 German Critical Philosophy (3)Selections from Kant and post-Kantians. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31006 Nineteenth-Century Philosophy (3)Selections from works of 19th-century philosophers. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy (3)Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31005 German Critical Philosophy,PHIL,departmental special approval before registration,"Selections from Kant and post-Kantians. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31006 Nineteenth-Century Philosophy (3)Selections from works of 19th-century philosophers. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy (3)Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31006 Nineteenth-Century Philosophy,PHIL,departmental special approval before registration,"Selections from works of 19th-century philosophers. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy (3)Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy,PHIL,departmental special approval before registration,"Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy,PHIL,departmental special approval before registration,Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism.
11009,or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism,PHIL,departmental special approval before registration,Development and themes of existentialism.
31035,Philosophy and Justice,PHIL,departmental special approval before registration,Consideration of topics and issues in the general sphere of justice from different perspectives by classical and contemporary philosophers.
31040,Women and Philosophy,PHIL,departmental special approval before registration,"Examines the influences and contributions of women to philosophy and the influences philosophy has had on women either historically or currently. Prerequisites: one course in philosophy (PHIL) and junior standing. This course may be used to satisfy the diversity requirement.31045 Formal Logic (3)(Cross-listed with CS 31045 and MATH 31045) Study of first-order predicated calculus with identity and function symbols. Prerequisites: none.31060 Aesthetics (3)Investigation of concepts such as the aesthetic object and creative expression, and critique of certain theories designed to solve various problems of aesthetic evaluations."
31045,Formal Logic,PHIL,departmental special approval before registration,"(Cross-listed with CS 31045 and MATH 31045) Study of first-order predicated calculus with identity and function symbols. Prerequisites: none.31060 Aesthetics (3)Investigation of concepts such as the aesthetic object and creative expression, and critique of certain theories designed to solve various problems of aesthetic evaluations."
