Course Number,Course Name,Department,Prerequisites,Description
10010,Information Fluency for  College Success,LIB,none,"(Cross-listed with LIS 10010).Teaches information and technology skills critical to college success, enabling student to become information fluent—able to find and evaluate information in a variety of contexts and formats, using a variety of technologies, to achieve specific objectives in effective and socially responsible ways."
30010,Information Fluency in the Workplace and Beyond,LIB,none,"(Cross-listed with LIS 30010)Teaches information access, technology and media literacy skills which enables students to become, not only information literate, but also information fluent—able to move seamlessly among multiple information sources and technologies resources to fill their informational needs, whether in the classroom or the workplace."
