Course Number,Course Name,Department,Prerequisites,Description
10101,Elementary I (Variable Language),HRTG,special approval,An introduction to a heritage language in the context of the culture of its speakers.
10102,Elementary II (Variable Language),HRTG,special approval,A continuation of the introduction to a heritage language in the context of the culture of its speakers.
10101,and special approval.20201 Intermediate I (Variable Language),HRTG,special approval,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials."
10102,and special approval.20202 Intermediate II (Variable Language),HRTG,special approval,Continuation of HRTG 20201.
