Course Number,Course Name,Department,Prerequisites,Description
34065,Quality Assurance,MIS,special approval,"Introduction to importance of quality assurance and tools used to accomplish better quality in goods and services. Topics: TQM, Six Sigma, quality philosophies, sampling plans and statistical process control, ISO, quality competition and awards."
34070,Principles of Systems Development,MIS,special approval,"Provides an overview of the information systems profession, a rigorous introduction to programming logic and language syntax and a framework for the IS curriculum. Prerequisites: MIS 24065.34080 Computer Programming for Business (3)Introduces a programming language currently used in business and industry for data processing, decision making and other information systems applications."
34080,Computer Programming for Business,MIS,special approval,"Introduces a programming language currently used in business and industry for data processing, decision making and other information systems applications."
34165,Dynamics of Leadership,MIS,special approval,Contemporary theories of management and leadership; practical application cases; personal assessment and opportunities to develop individual and group leadership.
24163,or BMRT 11009.34180 Human Resource Management,MIS,special approval,"Focuses on the competitive advantage derived from the better management of a firm’s human resources. Issues related to managing people at work will be discussed from both practical and theoretical perspectives. Prerequisites: minimum 2.50 cumulative GPA; and MIS 24163 or BMRT 11009. 34185 Individual and Group Behavior in Organizations (3)Determinants of individual and group behavior within work organizations. Topics covered include motivation, job design, learning, decision making, leadership and group behavior as they relate to performance and other outcomes in work organizations."
24163,or BMRT 11009. 34185 Individual and Group Behavior in Organizations,MIS,special approval,"Determinants of individual and group behavior within work organizations. Topics covered include motivation, job design, learning, decision making, leadership and group behavior as they relate to performance and other outcomes in work organizations."
24163,or BMRT 11009.34280 Social Responsibility in the Workplace,MIS,special approval,"Using a case-based approach to learning, this course provides information on what constitutes appropriate business behavior by examining the major business and nonbusiness factors that influence business policies and practices."
24163,or BMRT 11009..44042 Telecommunications and Networking,MIS,special approval,"Presentation of current and emerging telecommunications services and networking technologies with emphasis on their strengths, limitations and business applications."
44043,Data Base Management Systems,MIS,special approval,"The design, implementation and management of database management systems within organizations are studied from both theoretical and applied perspectives. Prerequisites: MIS 24060 and 24070.44044 Systems Analysis II (3)Physical system implementation: mapping logical data models and process models to physical data bases and system design; system coding, testing, installation, conversion, training and automated tools. Prerequisites: MIS 24060 and 24070.44045 Information Systems Management (3)Management of information systems resources and the IS function. Topics include IS planning for global, national and interorganizational commerce. IS architecture development and strategic alignment, information technology portfolio and risk management, project management, management of technical employees and management of technology customer issues. Prerequisites: MIS 24060 and 24070; and one of the following computer information systems (CIS) major requirement courses: MIS 44042 or 44043 or 44048 and computer information systems (CIS) major.44048 Software Integration (3)The design and implementation of information systems. Traditional and alternative development strategies are investigated from a theoretical and applied perspective. Group project to implement information system with software packages."
24060,and 24070.44044 Systems Analysis II,MIS,special approval,"Physical system implementation: mapping logical data models and process models to physical data bases and system design; system coding, testing, installation, conversion, training and automated tools. Prerequisites: MIS 24060 and 24070.44045 Information Systems Management (3)Management of information systems resources and the IS function. Topics include IS planning for global, national and interorganizational commerce. IS architecture development and strategic alignment, information technology portfolio and risk management, project management, management of technical employees and management of technology customer issues. Prerequisites: MIS 24060 and 24070; and one of the following computer information systems (CIS) major requirement courses: MIS 44042 or 44043 or 44048 and computer information systems (CIS) major.44048 Software Integration (3)The design and implementation of information systems. Traditional and alternative development strategies are investigated from a theoretical and applied perspective. Group project to implement information system with software packages."
24060,and 24070.44045 Information Systems Management,MIS,special approval,"Management of information systems resources and the IS function. Topics include IS planning for global, national and interorganizational commerce. IS architecture development and strategic alignment, information technology portfolio and risk management, project management, management of technical employees and management of technology customer issues. Prerequisites: MIS 24060 and 24070; and one of the following computer information systems (CIS) major requirement courses: MIS 44042 or 44043 or 44048 and computer information systems (CIS) major.44048 Software Integration (3)The design and implementation of information systems. Traditional and alternative development strategies are investigated from a theoretical and applied perspective. Group project to implement information system with software packages."
24060,and 24070; and one of the following computer information systems (CIS) major requirement courses: MIS 44042 or 44043 or 44048 and computer information systems (CIS) major.44048 Software Integration,MIS,special approval,The design and implementation of information systems. Traditional and alternative development strategies are investigated from a theoretical and applied perspective. Group project to implement information system with software packages.
24060,and 24070 and computer information systems (CIS) major. This course may be used to satisfy the writing-intensive requirement with approval of major department.44049 Network Management,MIS,special approval,"Practical aspects of installing and managing PC networks within business organizations. Emphasis on commonly used network operating systems, LAN and WAN technologies, internetworking and media."
44056,Statistical Models for Business Applications,MIS,special approval,"The application of linear statistical models such as regression analysis of variance, analysis of covariance, and design of experiments for managerial decision problems."
44061,Operations Management and Control,MIS,special approval,"Introduces the student to the key functions of an operations planning and control system, which provides information for the efficient flow of materials, the effective utilization of people and equipment and the proper coordination of internal activities with suppliers and customers."
44062,Supply Chain Management,MIS,special approval,"Students learn the basic analytical tools needed to coordinate business operations across the value chain. Course involves hands-on coverage of supply chain management with emphasis on supplier partnering and development, customer relations management, strategic sourcing and pricing, e-business, measuring supply chain performance, mass customization, planning supply and demand and coordination in the supply chain."
44065,Strategies in Production and Operations Management,MIS,special approval,Senior project in industrial management. Applies concepts from all prior coursework to the solution of real and simulated operating problems.
44066,Strategies in World Class Operations,MIS,special approval,"Introduce the student to Lean Production methodology, often referred to as Japanese management."
44091,Seminar in Human Resource Management,MIS,special approval,"In-depth readings, discussion, projects and presentations in a specialized area of human resource management. Prerequisites: minimum 2.75 cumulative GPA; and MIS 24053 or BMRT 11009; and MIS 34180 or BMRT 21006; and special approval. 44093 Variable Title Workshop in Management and Information Systems (1-6)S/U grading."
24053,or BMRT 11009; and MIS 34180 or BMRT 21006; and special approval. 44093 Variable Title Workshop in Management and Information Systems (1-6)S/U grading. Prerequisite: minimum 2.50 cumulative GPA.44095 Special Topics,MIS,special approval,Special topics course that will be offered on a semester basis with different topics and different faculty involved each time the course is offered.
44096,Individual Investigation in Management,MIS,special approval,Presents opportunity to undertake research. Approval of topic and agreement to work with student must be secured from faculty member and the chairperson of the department prior to registration.
44150,Total Quality Management,MIS,special approval,Considers the application of sound management principles and theories needed for successful implementation of quality processes and systems. The course will be based on class discussion and cases.
23163,or BMRT 11009; and business management (BMGT) major. This course may be used to satisfy the writing-intensive requirement with approval of major department.44183 Developing and Training Human Resources in Organizations,MIS,special approval,"The focus of this course is quality training design, based upon theory and empirical research. Implications for practice and current challenges in employee training and development are also highlighted. Prerequisites: minimum 2.75 cumulative GPA; and MIS 34180 or BMRT 21006; and special approval.44191 Senior Research Seminar in Management (3)Combination of individual or group research and class discussion for superior students. Investigations in administration and organization conducted in accordance with scholarly interests of participants."
34180,or BMRT 21006; and special approval.44191 Senior Research Seminar in Management,MIS,special approval,Combination of individual or group research and class discussion for superior students. Investigations in administration and organization conducted in accordance with scholarly interests of participants.
44192,Internship in Management,MIS,None,"A supervised field experience requiring a minimum of 120 hours of work at a cooperating organization. Requires regular contact with instructor and preparation of an internship report connecting academic coursework to on-the-job experiences. Prerequisites: special approval. 44195 Advanced Topics in Human Resource Management (3)Advanced topics course that will be offered on a yearly basis. Topics can span the full range of HR functions. This course also can have a practicum format. Prerequisites: minimum 2.75 cumulative GPA; and MIS 34180 or BMRT 21006; and special approval.44285 Integrated Business Policy and Strategy (3)Integration of the functional areas of business in the formulation and implementation of policy. Projects and case analyses of business situations provide students with the opportunity to apply analytical and creative problem-solving skills. Prerequisites: enrolled in the College of Business Administration and minimum 2.50 cumulative GPA; and MIS 24163 or BMRT 11009.44292 Internship in Information Systems (3)Preparation of a research report concurrent with on-the-job experience in the information systems department of a cooperating business or industrial organization. Prerequisites: minimum 2.50 cumulative GPA and MIS 24060 and MIS 24070 and computer information (CIS) major and special approval. This page was last modified onAugust 20, 2009"
44195,Advanced Topics in Human Resource Management,MIS,None,"Advanced topics course that will be offered on a yearly basis. Topics can span the full range of HR functions. This course also can have a practicum format. Prerequisites: minimum 2.75 cumulative GPA; and MIS 34180 or BMRT 21006; and special approval.44285 Integrated Business Policy and Strategy (3)Integration of the functional areas of business in the formulation and implementation of policy. Projects and case analyses of business situations provide students with the opportunity to apply analytical and creative problem-solving skills. Prerequisites: enrolled in the College of Business Administration and minimum 2.50 cumulative GPA; and MIS 24163 or BMRT 11009.44292 Internship in Information Systems (3)Preparation of a research report concurrent with on-the-job experience in the information systems department of a cooperating business or industrial organization. Prerequisites: minimum 2.50 cumulative GPA and MIS 24060 and MIS 24070 and computer information (CIS) major and special approval. This page was last modified onAugust 20, 2009"
34180,or BMRT 21006; and special approval.44285 Integrated Business Policy and Strategy,MIS,None,"Integration of the functional areas of business in the formulation and implementation of policy. Projects and case analyses of business situations provide students with the opportunity to apply analytical and creative problem-solving skills. Prerequisites: enrolled in the College of Business Administration and minimum 2.50 cumulative GPA; and MIS 24163 or BMRT 11009.44292 Internship in Information Systems (3)Preparation of a research report concurrent with on-the-job experience in the information systems department of a cooperating business or industrial organization. Prerequisites: minimum 2.50 cumulative GPA and MIS 24060 and MIS 24070 and computer information (CIS) major and special approval. This page was last modified onAugust 20, 2009"
24163,or BMRT 11009.44292 Internship in Information Systems,MIS,None,"Preparation of a research report concurrent with on-the-job experience in the information systems department of a cooperating business or industrial organization. Prerequisites: minimum 2.50 cumulative GPA and MIS 24060 and MIS 24070 and computer information (CIS) major and special approval. This page was last modified onAugust 20, 2009"
