Course Number,Course Name,Department,Prerequisites,Description
12101,Elementary Hebrew I,HEBR,HEBR 22104,An introduction to the modern Hebrew language in the context of Israeli culture.
12102,Elementary Hebrew II,HEBR,HEBR 22104,A continuation of the introduction to the modern Hebrew language in the context of Israeli culture.
22104,Intermediate Hebrew I,HEBR,HEBR 22104,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials."
22105,Intermediate Hebrew II,HEBR,HEBR 22104,Continuation of HEBR 22104.
