Course Number,Course Name,Department,Prerequisites,Description
10001,Introduction to American Studies,AMST,none,"Exposure to culture theory, analysis of major patterns and periodization in American culture. Required for American studies majors; also for elective credit."
40095,Special Topics,AMST,None,"Selected subjects and/or themes in American culture. Prerequisites: junior standing and special approval.40096 Individual Investigation (1-3)(Repeated registration permissible) Individual research project. Prerequisites: senior standing and special approval.40197 Senior Colloquium (3)Intensive research into comparative culture pattern or theme, reading and discussion. Prerequisites: senior standing and special approval. This page was last modified onAugust 20, 2009"
40096,Individual Investigation (1-3)(Repeated registration permissible) Individual research project. Prerequisites: senior standing and special approval.40197 Senior Colloquium,AMST,None,"Intensive research into comparative culture pattern or theme, reading and discussion. Prerequisites: senior standing and special approval. This page was last modified onAugust 20, 2009"
