Course Number,Course Name,Department,Prerequisites,Description
14022,and 14060. Special fee: $60 flat fee—subject to change.35304 Textile Arts: Pictorial Weaving,ARTC,ARTC 35702,"An introduction to floor loom weaving processes that facilitate the development of nonrepetitive patterns and images. Techniques such as warp painting, supplementary weft and pick-up doubleweave will be explored as means of creating pictorial art cloth. Textile history will be presented as an important resource for the development of woven studies and individually conceived projects. Prerequisites: ARTF 14022 and 14060. Special fee: $60 flat fee—subject to change.35350 Textile Arts: Design and Production (3)A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.) Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II (3)Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
14022,and 14060. Special fee: $60 flat fee—subject to change.35350 Textile Arts: Design and Production,ARTC,ARTC 35702,"A basic introduction to the mechanics of designing and constructing patterned and dyed cloth on the floor loom. Learning to use the computer for the designing of woven pattern is an expectation of the course. (This is an excellent course for designers of fashion and interiors, as well as anyone interested in the design and craft of weaving.) Prerequisites: ARTF 14022 and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II (3)Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
14022,and 14060. Special fee: $75 flat fee—subject to change.35400 Ceramics II,ARTC,ARTC 35702,"Continuation of ARTC 25400 emphasizing design, use of potter’s wheel and chemistry of glazes."
25400,"emphasizing design, use of potter’s wheel and chemistry of glazes. Prerequisite: ARTC 25400. Special fee: $150 flat fee—subject to change.35600 Glass Blowing",ARTC,ARTC 35702,"Further exploration of glass blowing techniques. Design, form, color and execution will be emphasized."
35601,Sculptural and Kiln-Formed Glass,ARTC,ARTC 35702,"An overview and exploration of sculptural and kiln-formed glass techniques. Casting, jusing, slumping and cold construction is covered. Design, form, content and technical execution and understanding operations of equipment is emphasized. Prerequisites: ARTC 25600 and ARTF 14055. Special fee: $240 flat fee—subject to change.35700 Jewelry Concepts and Techniques (3)An in-depth exploration of jewelry making techniques such as casting, stone setting, mechanisms and fabrication. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
25600,and ARTF 14055. Special fee: $240 flat fee—subject to change.35700 Jewelry Concepts and Techniques,ARTC,ARTC 35702,"An in-depth exploration of jewelry making techniques such as casting, stone setting, mechanisms and fabrication. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
35701,Metalsmithing Concepts and Techniques,ARTC,ARTC 35702,"Course offers an in-depth exploration of hammerworking techniques such as raising, forging and shell forming. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
35702,Enameling Concepts and Techniques,ARTC,ARTC 35702,"An in-depth exploration of vitreous enameling techniques on two dimensional surfaces. Porcelain enamel on steel will be introduced. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
25700,and 35700. Special fee: $150 flat fee—subject to change.35703 Textile Techniques in Metal,ARTC,ARTC 35702,"Course applies textile techniques such as weaving, crocheting, knitting and basketry to create jewelry and objects in metal. Emphasis is on innovative approach to traditional processes."
45092,"Field Experience Travel Study Crafts (1-3)Travel-based study/field experience in crafts disciplines to and at a site or sites away from Kent State University. S/U grading. Prerequisite: major in crafts (ARTC).45095 Crafts: Selected Topics (1-6)Specialized courses in crafts that focus on specific techniques and media. Prerequisite: junior standing. Special fee: $45/credit hour—subject to change.45096 Individual Study: Crafts (1-6)(Repeatable for a total of 12 credit hours) Additional study and/or special topics in ceramics, enameling, glass, jewelry/metals or fiber arts. IP grade permissible. Prerequisite: special approval. Special fee: $50/credit hour—subject to change.45099 Senior Project: Crafts",ARTC,ARTC 35702,"Independently conceived project in crafts submajor. Includes completion of undergraduate thesis, review presentation documentation (slide form), exhibition and faculty review. Letter grades and IP grade permissible."
45301,Textile Arts: Advanced Studio,ARTC,ARTC 35702,(Repeatable for a total of 6 credit hours) Structured time for individual investigations in textiles. Emphasis on self-designed study. Biweekly presentations of contemporary work in textiles and weekly discussions or critiques with open studio. IP grade permissible.
45400,"Advanced Ceramics (2-6)(Repeatable for a total of 40 credit hours) Individual problems in ceramics. Prerequisite: ARTC 35400. Special fee: $50/credit hour—subject to change.45500 Advanced Enameling (2-6)(Repeatable for a total of 30 credit hours) Advanced study in enameling allows students to work in-depth with media. Prerequisite: special approval. Special fee: $50/credit hour—subject to change.45600 Advanced Glass Working (2-6)(Repeatable for a total of 40 credit hours) Individual exploration of sculptural and hot glass techniques. Design, form, content and execution strongly emphasized. Introduction to studio facility design, construction and maintenance. Prerequisites: ARTC 35600 and 35601. Special fee: $75/credit hour—subject to change.45700 Design and Production",ARTC,ARTC 35702,"Course prepares students to enter the marketplace by examining production processes for creating multiples, industrial applications and marketing. Traditional rendering techniques are taught as a method for communicating with clientele in the custom design market. Design skills are emphasized. Prerequisites: ARTC 35700 and 35701. Special fee: $120 flat fee—subject to change.45701 Tableware (3)Course explores forms made for the table such as flatware, serving sets and containers. Traditional and experimental approaches will be examined. Prerequisites: ARTC 35700 and 35701. Special fee: $120 flat fee—subject to change.45702 Advanced Enameling (3)Course offers advanced vitreous enameling techniques on two- and three-dimensional surfaces. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
35700,and 35701. Special fee: $120 flat fee—subject to change.45701 Tableware,ARTC,ARTC 35702,"Course explores forms made for the table such as flatware, serving sets and containers. Traditional and experimental approaches will be examined. Prerequisites: ARTC 35700 and 35701. Special fee: $120 flat fee—subject to change.45702 Advanced Enameling (3)Course offers advanced vitreous enameling techniques on two- and three-dimensional surfaces. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
35700,and 35701. Special fee: $120 flat fee—subject to change.45702 Advanced Enameling,ARTC,ARTC 35702,"Course offers advanced vitreous enameling techniques on two- and three-dimensional surfaces. Conceptual development and design skills are emphasized. To gain a deeper understanding of the subject, historical and contemporary works will be viewed and discussed."
45703,Large Scale Enameling,ARTC,ARTC 35702,"Course is an in-depth exploration of enameling on larger two-dimensional surfaces. Techniques include spraying, painting, screening and drawing with porcelain enamel on steel. Provides experience using unique large-scale flat-bed furnace."
45704,Advanced Studio Jewelry Metals Enameling,ARTC,None,"Course offers structured time for individual investigations in jewelry, metalsmithing and enameling. Emphasis on self-directed study with frequent critiques and technical demos as needed. Regular viewing and discussion of historical and contemporary works. Prerequisites: ARTC 35700 and 35701 and senior standing. Special fee: $120 flat fee—subject to change. This page was last modified onAugust 20, 2009"
