Course Number,Course Name,Department,Prerequisites,Description
17052,Ballet I-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 8 credit hours) Ballet techniques: Pre-barre, beginning barre and beginning center work. Prerequisites: dance (DANC) major and special approval.17053 Principles of Dance Mechanics I (2)The study and application of alignment and basic movement principles to dance techniques. To be taken with DAN 17051 or 17052. Prerequisites: dance (DANC) major and special approval. Corequisites: DAN 17051 or 17052.17151 Modern Dance Technique I-B (3)*(Repeatable for a total of 12 credit hours) Continued exploration of basic modern dance technique and improvisation begun in DAN 17051 or equivalent. Continued study of dance innovators and their historical significance. Prerequisites: dance (DANC) major and DAN 17051 and special approval.17152 Ballet I-B (2)*(Repeatable for a total of 8 credit hours) Continuation of ballet techniques studied in DAN 17052 - Ballet I-A. Prerequisites: dance (DANC) major and DAN 17052 and special approval.27057 Dance for Children (3)*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
17053,Principles of Dance Mechanics I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"The study and application of alignment and basic movement principles to dance techniques. To be taken with DAN 17051 or 17052. Prerequisites: dance (DANC) major and special approval. Corequisites: DAN 17051 or 17052.17151 Modern Dance Technique I-B (3)*(Repeatable for a total of 12 credit hours) Continued exploration of basic modern dance technique and improvisation begun in DAN 17051 or equivalent. Continued study of dance innovators and their historical significance. Prerequisites: dance (DANC) major and DAN 17051 and special approval.17152 Ballet I-B (2)*(Repeatable for a total of 8 credit hours) Continuation of ballet techniques studied in DAN 17052 - Ballet I-A. Prerequisites: dance (DANC) major and DAN 17052 and special approval.27057 Dance for Children (3)*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
17051,or 17052. Prerequisites: dance (DANC) major and special approval. Corequisites: DAN 17051 or 17052.17151 Modern Dance Technique I-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 12 credit hours) Continued exploration of basic modern dance technique and improvisation begun in DAN 17051 or equivalent. Continued study of dance innovators and their historical significance. Prerequisites: dance (DANC) major and DAN 17051 and special approval.17152 Ballet I-B (2)*(Repeatable for a total of 8 credit hours) Continuation of ballet techniques studied in DAN 17052 - Ballet I-A. Prerequisites: dance (DANC) major and DAN 17052 and special approval.27057 Dance for Children (3)*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
17051,or equivalent. Continued study of dance innovators and their historical significance. Prerequisites: dance (DANC) major and DAN 17051 and special approval.17152 Ballet I-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 8 credit hours) Continuation of ballet techniques studied in DAN 17052 - Ballet I-A. Prerequisites: dance (DANC) major and DAN 17052 and special approval.27057 Dance for Children (3)*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
17052,and special approval.27057 Dance for Children,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 6 hours) The theory and practice of children’s dance in the preschool, elementary/middle schools, private studio and recreation settings."
27070,Introduction to Jazz Styles A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Development of basic jazz dance skills. Students must be at 20000-level technique in modern or ballet.
27071,or 27072; and special approval.27071 Modern Dance Technique II-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,*(Repeatable for a total of 12 hours) Intermediate modern dance styles emphasizing complex movement phrases.
17051,and special approval.27072 Ballet II-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 8 credit hours) Intermediate ballet technique. Prerequisites: dance (DANC)major and DAN 17152 and special approval.27074 Dance Composition I (3)*(Repeatable for a total of 12 hours) Movement exploration and improvisation, including developing the body as an instrument of expression."
17152,and special approval.27074 Dance Composition I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 12 hours) Movement exploration and improvisation, including developing the body as an instrument of expression."
17151,and special approval. Corequisite: DAN 27071.27076 Dance as an Art Form,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"Survey of the various types, styles and functions of dance with emphasis on understanding dance as an art form and an expression of culture."
